Course Name,Course Description,Credits
ACTG 211, Intro Accounting I,4.00
Lecture,10053,0,180,1000-1120,mw,182 LIL,Welander J,!$Y
+ Lab,16042,0,30,1800-1850,r,245 LIL,Messenger T,!
+ Lab,16044,0,30,1600-1650,r,301 CON,Messenger T,!
+ Lab,16045,0,30,1700-1750,r,101 PETR,Messenger T,!
+ Lab,16046,0,30,0900-0950,f,102 PETR,Sosa Salgado A,!
+ Lab,16048,0,30,1000-1050,f,203 CON,Sosa Salgado A,!
+ Lab,16049,0,30,1100-1150,f,162 LIL,Sosa Salgado A,!
 ,10054,0,60,1200-1350,mw,132 LIL,Savage M,!$Y
 ,10055,0,60,1400-1550,mw,132 LIL,Savage M,!$Y
 ,10056,0,60,1600-1750,tr,162 LIL,Savage M,!$Y
Lecture,16036,0,180,1600-1720,mw,282 LIL,Welander J,!$Y
+ Lab,16050,0,30,1800-1850,r,255 LIL,Bahr A,!
+ Lab,16052,0,30,1600-1650,r,106 FR,Bahr A,!
+ Lab,16053,0,30,1700-1750,r,103 PETR,Bahr A,!
+ Lab,16054,0,30,0900-0950,f,107 PETR,Kuchin M,!
+ Lab,16055,0,30,1000-1050,f,111 LIL,Kuchin M,!
+ Lab,16056,0,30,1100-1150,f,111 LIL,Kuchin M,!
ACTG 213, Intro Accounting II,4.00
Lecture,10059,5,168,0830-0950,mw,123 PAC,Sneed J,!$
+ Lab,10060,0,28,0800-0850,r,245 LIL,Dodge K, 
+ Lab,10061,1,28,0800-0850,r,255 LIL,Kim J, 
+ Lab,10062,3,28,0800-0850,r,471 MCK,Jackson C, 
+ Lab,10063,0,28,1600-1650,r,203 CON,Dodge K, 
+ Lab,10064,1,28,1600-1650,r,123 MCK,Jackson C, 
+ Lab,10065,0,28,1600-1650,r,103 PETR,Kim J, 
ACTG 340, Actg for Entrepreneurs,4.00
 ,10067,0,46,0800-0950,mw,162 LIL,Temmesfeld D,!$
ACTG 350, Intermed Accounting I,4.00
 ,10068,4,46,0800-0950,tr,275 LIL,Matsunaga S,!$M
 ,10069,0,46,1000-1150,tr,275 LIL,Matsunaga S,!$M
 ,15336,0,46,1200-1350,mw,285 LIL,Kim J,!$M
ACTG 352, Intermediate Actg III,4.00
 ,10070,4,60,1200-1350,mw,262 LIL,Sneed J,!$M
ACTG 401, Research,1.00-21.00
 ,10071,20,20,tba,tba,tba,STAFF,$
ACTG 403, Thesis,1.00-12.00
 ,10072,20,20,tba,tba,tba,STAFF,$
ACTG 405, Reading,1.00-12.00
 ,10073,20,20,tba,tba,tba,STAFF,$
ACTG 406, Practicum,1.00-12.00
 ,10075,20,20,tba,tba,tba,STAFF,$
ACTG 450, Adv Financial Actg,4.00
 ,10077,0,46,1200-1350,tr,275 LIL,Clement R,!$M
ACTG 470, Federal Taxation,4.00
 ,10078,0,39,1400-1550,mw,285 LIL,Tomcal M,!$M
ACTG 480, Acc Data Analytics I,4.00
 ,10079,0,6,1600-1750,mw,285 LIL,Peel S,!$M
AEIS 101, Intro Acad Oral Comm,4.00
 ,10121,3,17,1200-1350,mw,116 AGH,Rice J,!$8
AEIS 110, Intro Academic Writing,4.00
 ,10122,1,17,1000-1150,t,116 AGH,Sepulveda J,!$8
DIS,10122,1,17,-, , 
ANTH 145, Princ of Archaeology >3,4.00
Lecture,10125,1,200,1000-1120,tr,282 LIL,Sanchez G,!U
+ Lab,15529,1,25,0900-0950,f,204 CON,Olajide V, 
+ Lab,15530,0,25,1000-1050,f,204 CON,Olajide V,!U
+ Lab,15531,0,25,1100-1150,f,204 CON,Olajide V, 
+ Lab,15532,0,25,1200-1250,f,204 CON,Durga R, 
+ Lab,15533,0,25,1300-1350,f,204 CON,Durga R, 
+ Lab,15534,0,25,1400-1450,f,204 CON,Durga R, 
+ Lab,15535,0,25,1500-1550,f,204 CON,Durga R, 
+ Lab,15536,0,25,0800-0850,f,204 CON,Olajide V, 
ANTH 150, World Archaeology >2 >GP >IC,4.00
Lecture,15537,1,200,1400-1520,mw,180 PLC,Carter A, 
+ Lab,15538,0,25,0900-0950,r,204 CON,Bhattacharyya T, 
+ Lab,15539,0,25,1000-1050,r,204 CON,Bhattacharyya T, 
+ Lab,15540,0,25,1100-1150,r,204 CON,Bhattacharyya T, 
+ Lab,15541,0,25,1200-1250,r,204 CON,Bhattacharyya T, 
+ Lab,15542,0,25,1300-1350,r,204 CON,Bhattacharyya T, 
+ Lab,15543,0,25,1400-1450,r,204 CON,Bhattacharyya T, 
+ Lab,15544,1,25,1500-1550,r,204 CON,Bhattacharyya T, 
+ Lab,15545,0,25,1600-1650,r,204 CON,Bhattacharyya T, 
ANTH 161, Intro Cultural Anth >2 >GP >IC,4.00
ANTH 171, Intro Monkeys & Apes >3,4.00
Lecture,10137,3,160,1600-1720,mw,177 LA,Ting N,!$8U
+ Lab,10138,0,20,0900-0950,r,368 CON,Epstein S, 
+ Lab,10139,0,20,1000-1050,r,368 CON,Epstein S, 
+ Lab,10140,3,20,1100-1150,r,368 CON,Epstein S,!U
+ Lab,10141,0,20,1200-1250,r,368 CON,Epstein S, 
+ Lab,10142,0,20,1300-1350,r,368 CON,Walker T, 
+ Lab,10143,0,20,1400-1450,r,368 CON,Walker T, 
+ Lab,10144,0,20,1500-1550,r,368 CON,Walker T, 
+ Lab,10145,0,20,1600-1650,r,368 CON,Walker T, 
ANTH 175, Evolutionary Medicine >3,4.00
Lecture,10150,1,240,1400-1520,mw,282 LIL,Snodgrass J,$
+ Lab,10151,0,20,0900-0950,t,204 CON,Cotton S, 
+ Lab,10152,0,20,1000-1050,t,204 CON,Cotton S, 
+ Lab,10153,1,20,1100-1150,t,204 CON,Cotton S, 
+ Lab,10154,0,20,1200-1250,t,204 CON,Cotton S, 
+ Lab,10155,0,20,1300-1350,t,204 CON,Cotton S, 
+ Lab,10156,0,20,1400-1450,t,204 CON,Cotton S, 
+ Lab,10157,0,20,1500-1550,t,204 CON,Cotton S, 
+ Lab,10158,0,20,1600-1650,t,204 CON,Cotton S, 
+ Lab,10159,0,20,0900-0950,w,330 CON,Reda H, 
+ Lab,10160,0,20,1000-1050,w,330 CON,Reda H, 
+ Lab,10161,0,20,1100-1150,w,330 CON,Reda H, 
+ Lab,10162,0,20,1200-1250,w,330 CON,Reda H, 
ANTH 176, Intro to Forensic Anth >3,4.00
Lecture,10163,2,157,1400-1520,tr,101 LLCS,Ulibarri L,!$U
+ Lab,10164,0,20,0900-0950,f,368 CON,McCarter J, 
+ Lab,10165,0,20,1000-1050,f,368 CON,McCarter J, 
+ Lab,10166,1,20,1100-1150,f,368 CON,McCarter J,!U
+ Lab,10167,0,20,1200-1250,f,368 CON,McCarter J, 
+ Lab,10168,0,20,1300-1350,f,368 CON,Jolly D, 
+ Lab,10169,0,20,1400-1450,f,368 CON,Jolly D, 
+ Lab,10170,0,20,1500-1550,f,368 CON,Jolly D, 
+ Lab,10171,1,17,1600-1650,f,368 CON,Jolly D, 
ANTH 340, Fund of Archaeology >3,4.00
 ,15553,1,30,1000-1150,mw,106 CON,Carter A,!
ANTH 366, Human Osteology Lab,4.00
 ,10184,0,20,1200-1350,mw,368 CON,Kuehn K,!$
 ,16500,3,20,1000-1150,mw,368 CON,Frost S,!$
ANTH 401, Research,1.00-21.00
 ,10186,10,10,tba,tba,tba,STAFF,
ANTH 403, Thesis,1.00-12.00
 ,10187,9,10,tba,tba,tba,STAFF,
ANTH 405, Special Problems,1.00-12.00
 ,10188,9,10,tba,tba,tba,STAFF,
ANTH 408, Wrk Field Anthropology,1.00-21.00
 ,10190,10,10,tba,tba,tba,STAFF,
ANTH 410, Healthy Aging,4.00
 ,10191,0,30,1000-1150,mw,189 PLC,Snodgrass J, 
ANTH 410, Climate Change & Soc,4.00
 ,16487,6,30,1600-1750,mw,360 CON,Herrera T, 
ANTH 441, Recent Cultural Theory,4.00
 ,15554,3,30,1200-1350,tr,101 PETR,Bornstein E,!9
ANTH 453, African Archaeology,4.00
 ,10193,0,30,1400-1550,tr,201 CON,Dueppen S,8
ANTH 467, Paleoecol Human Evol,4.00
 ,15555,1,18,1400-1550,mw,368 CON,Blumenthal S,!
ANTH 471, Top Zooarchaeology,4.00
 ,15557,1,13,1400-1550,tr,264 CON,Sanchez G,!
ANTM 401, Research,1.00-21.00
 ,10210,2,5,tba,tba,tba,STAFF,
ANTM 403, Thesis,1.00-12.00
 ,10212,5,5,tba,tba,tba,STAFF,
ANTM 405, Special Problems,1.00-12.00
 ,10213,5,5,tba,tba,tba,STAFF,
 ,10214,10,10,tba,tba,tba,STAFF,
ANTM 408, Wrk Field Museum ANTM,1.00-21.00
 ,10215,10,10,tba,tba,tba,STAFF,
ARB 101, 1st Year Arabic,5.00
 ,10220,12,20,1000-1050,mtwrf,157 MCK,Elsherif H, 
 ,10221,14,20,1100-1150,mtwrf,157 MCK,Elsherif H, 
